team,data,user_id_anon,user_id_raw
team000,IDP,2001,937
team000,IDP,2002,862
team000,IDP,2003,130
team000,IDP,2004,141
team000,IDP,2005,1550
team000,IDP,2006,658
team000,IDP,2007,217
team000,IDP,2008,719
team000,IDP,2009,839
team000,IDP,2010,165
team000,IDP,2011,1029
team000,IDP,2012,868
team000,IDP,2013,1098
team000,IDP,2014,1593
team000,IDP,2015,1602
team000,IDP,2016,900
team000,IDP,2017,715
team000,IDP,2018,1219
team000,IDP,2019,1697
team000,IDP,2020,1744
team000,IDP,2021,1373
team000,IDP,2022,169
team000,IDP,2023,1738
team000,IDP,2024,1115
team000,IDP,2025,736
team000,IDP,2026,1736
team000,IDP,2027,581
team000,IDP,2028,920
team000,IDP,2029,1038
team000,IDP,2030,1844
team000,IDP,2031,1240
team000,IDP,2032,1583
team000,IDP,2033,213
team000,IDP,2034,579
team000,IDP,2035,1286
team000,IDP,2036,228
team000,IDP,2037,1663
team000,IDP,2038,888
team000,IDP,2039,440
team000,IDP,2040,630
team000,IDP,2041,812
team000,IDP,2042,1121
team000,IDP,2043,1287
team000,IDP,2044,1388
team000,IDP,2045,1731
team000,IDP,2046,1003
team000,IDP,2047,1861
team000,IDP,2048,1237
team000,IDP,2049,492
team000,IDP,2050,968
team000,IDP,2051,135
team000,IDP,2052,99
team000,IDP,2053,532
team000,IDP,2054,747
team000,IDP,2055,980
team000,IDP,2056,1166
team000,IDP,2057,147
team000,IDP,2058,1231
team000,IDP,2059,327
team000,IDP,2060,46
team000,IDP,2061,738
team000,IDP,2062,622
team000,IDP,2063,1603
team000,IDP,2064,1521
team000,IDP,2065,1525
team000,IDP,2066,276
team000,IDP,2067,1116
team000,IDP,2068,1587
team000,IDP,2069,333
team000,IDP,2070,526
team000,IDP,2071,1787
team000,IDP,2072,1944
team000,IDP,2073,1222
team000,IDP,2074,17
team000,IDP,2075,193
team000,IDP,2076,1539
team000,IDP,2077,1870
team000,IDP,2078,1333
team000,IDP,2079,1107
team000,IDP,2080,1982
team000,IDP,2081,1284
team000,IDP,2082,285
team000,IDP,2083,732
